"Cliente - Nome","Cliente - CNPJ","Cliente - Estado","Cliente - Cidade","rua"
"CONSTRUNIAO MAT DE CONSTRUCAO LTDA EPP","03967184000151","PR","IVAIPORA","PC PE IVES GUEGUEM,145-,86870-000"
"CONSTRUNOK ACABAMENTOS LTDA - ME","17122457000171","MG","MONTES CLAROS","AV GOV MAGALHAES PINTO,2191-,39401-427"
"CONSTRUSHOP CACARI MATERIAIS DE CONSTRUCAO LTDA","01429775000140","RR","BOA VISTA","R DA BACABEIRA,224-,69307-717"
"CONSTRUSILVA COM DE MAT DE CONSTRUCAO LTDA EPP","00353934000107","SC","JOINVILLE","R OTTOKAR DOERFFEL,185-,89203-495"
"CONSTRUTINTAS COM LTDA","35279546000108","RN","MOSSORO","AV ALBERTO MARANHAO,782-,59618-700"
"COPICAL CENTRO OESTE COM DE TINTAS LTDA EPP","71887590000245","SP","OURINHOS","R DO EXPEDICIONARIO,952-PISO INFERIOR,19900-041"
"COPICAL COMERCIAL DE PINTURAS CAIO LTDA","44456739000188","SP","BAURU","R PRIMEIRO DE AGOSTO 11,50-,17013-010"
"COPICAL PRUDENTINA COM DE TINTAS LTDA","06201604000182","SP","PRESIDENTE PRUDENTE","AV QUATORZE DE SETEMBRO,94-,19013-380"
"COQUEIRO MATERIAIS PARA CONST LTDA","26997809000123","DF","BRASILIA","R DA GAMELEIRA,490-,71693-163"
"CORES D TINTAS E ACESSORIOS EIRELI","28935566000205","BA","SALVADOR","R DJALMA DUTRA,236-,40240-080"
"CORES DO RIO PINTURAS LTDA","13855477000109","RJ","RIO DE JANEIRO","R SANTO CRISTO,283-,20220-304"
"COSTI COMERCIO DE TINTAS LTDA","02454674000191","RS","FARROUPILHA","R  JULIO DE CASTILHOS,593-SL 13,95180-000"
"CR2 COMERCIO DE TINTAS LTDA","09373760000119","DF","BRASILIA","QD 102 CJ 4 LT 09 LJ 01 RESID OESTE,9 10-,71692-110"
"D ABRIL TINTAS MAT DE CONSTRUCAO E F LTDA ME","72727274000198","SP","SAO PAULO","AV  JERIMANDUBA,724-,05181-000"
"D ABRIL TINTAS MAT DE CONSTRUCAO E F LTDA ME","72727274000198","SP","SAO PAULO","AV  JERIMANDUBA,724-,05181-000"
"D DE SIQUEIRA COMERCIO DE TINTAS E MAT DE CONSTR","10229395000152","MT","CUIABA","AV GOVERNADOR DANTE MARTINS DE OLIVEIRA,2979-QD 10 LT 01,78050-889"
"DAMIANI COM DE TINTAS LTDA","03762331000157","SC","CRICIUMA","AV  DOS IMIGRANTES,915-,88817-600"
"DANTECOLOR TINTAS LTDA","71800668000161","SP","SAO JOSE DO RIO PRETO","AV PRES J K DE OLIVEIRA,51-A,15091-450"
"DBM FRANCA COMERCIO DE TINTAS LTDA","36527325000174","SP","FRANCA","R NELSON JAPAULO,2390-,14407-495"
"DCOR AMAIS TINTAS REPRESA LTDA","37255626000159","SP","SAO JOSE DO RIO PRETO","AV LINO JOSE DE SEIXAS,1235-,15061-165"
"DECOR PAINTS TINTAS EIRELI","30961655000197","SC","ITAJAI","R PEDRO GUERREIRO JUNIOR,46-,88301-482"
"DEPOSITO DE MADEIRA SAO LUIZLTDA","44604973000105","SP","CAMPINAS","AV ARMANDO SALES OLIVEIRA,390-,13090-150"
"DEPOSITO JK LTDA","20708178000107","MG","DIVINOPOLIS","AV SETE DE SETEMBRO,104-,35500-188"
"DESTAQUE COMERCIO DE TINTAS EIRELI","34835889000149","DF","BRASILIA","Q QI 11 BLOCO B LOTE,5-,71020-629"
"DG COMERCIO DE TINTAS LTDA - ME","19696794000106","SP","BAURU","R ARAUJO LEITE QD,20 64-,17012-055"
"DG COMERCIO DE TINTAS LTDA - ME","19696794000289","SP","OURINHOS","R PARA,557-LJ 2,19911-700"
"DIAMANTE COM DE TINTAS LTDA","59738088000196","SP","CAMPINAS","AV  BENJAMIN CONSTANT,485-,13010-140"
"DIAMANTE COM DE TINTAS LTDA","59738088000358","SP","RIBEIRAO PRETO","AV DA SAUDADE,1700-,14085-000"
"DISMONZA DISTRIB DE TINTAS E ABRASIVOS LTDA","84641331000443","RO","PORTO VELHO","R  MIGUEL CHAKIAN,377-,76820-094"
"DISTRITAL COMERCIO DE TINTAS LTDA","23781742000105","DF","BRASILIA","A ADE CONJUNTO 19 LOTE,37-PARTE A,71989-000"
"DIVINOPOLIS TINTAS LTDA","16762049000111","MG","DIVINOPOLIS","AV  AUTORAMA,200-,35501-221"
