"Cliente - Nome";"Cliente - CNPJ";"Cliente - Estado";"Cliente - Cidade";"rua";"numero";"bairro";"cep (8 digitos)";"CONCAT"
"CONSTRU RIBEIRO COM MAT CONST";"55953582000112";"SP";"BARRETOS";"AV MATO GROSSO";695;"BELA VISTA";"14.780-735";"AV MATO GROSSO, 695, BELA VISTA, BARRETOS"
"APOIO RBS COMERCIAL LTDA";"2381476000145";"SP";"PERUIBE";"AV LUCIANO DE BONA";1930;"PARQUE TURISTICO";"11.750-000";"AV LUCIANO DE BONA, 1930, PARQUE TURISTICO, PERUIBE"
"PEDRAO PVC MATS P CONSTR LTDA";"60344348000128";"SP";"RIBEIRAO PRETO";"R MARTINICO PRADO";897;"VILA TIBERIO";"14.050-050";"R MARTINICO PRADO, 897, VILA TIBERIO, RIBEIRAO PRETO"
"ESTORIL NITEROI MATS CONSTR LTDA ME";"91673000102";"RJ";"NITEROI";"R PRESIDENTE BACKER";188;"ICARAI";"24.220-041";"R PRESIDENTE BACKER, 188, ICARAI, NITEROI"
"SCHUMACHER AREIAS E ARGAMASSAS LTDA";"7236044000164";"SC";"CANOINHAS";"ROD BR 280 KM 221,7";2650;"AGUA VERDE";"89.460-000";"ROD BR 280 KM 221,7, 2650, AGUA VERDE, CANOINHAS"
"MONFORTE MAT DE CONSTRUCOES LTDA - ME";"42000737000154";"BA";"SALVADOR";"AV CENTENARIO";1369;"CENTENARIO";"40.155-150";"AV CENTENARIO, 1369, CENTENARIO, SALVADOR"
"S S MATERIAL DE CONSTRUCAO LTDA";"15112858000115";"SE";"ARACAJU";"R OSVANDA OLIVEIRA VIEIRA";168;"PEREIRA LOBO";"49.050-550";"R OSVANDA OLIVEIRA VIEIRA, 168, PEREIRA LOBO, ARACAJU"
"REALEZA MATERIAIS DE CONSTRUCAO LTDA";"4047818000110";"SC";"ITAPOA";"R DO COMERCIO";326;"BAL ITAPEMA DO NORTE";"89.249-000";"R DO COMERCIO, 326, BAL ITAPEMA DO NORTE, ITAPOA"
"SALOMAO ANTONIO E CIA LTDA EPP";"4898102000127";"PA";"BELEM";"AV MAGALHAES BARATA";379;"SAO BRAZ";"66.630-040";"AV MAGALHAES BARATA, 379, SAO BRAZ, BELEM"
"THEAGO SEVERINO DE ALMEIDA EIRELI";"2402707000150";"SP";"JALES";"AV SALUSTIANO PUPIM";1062;"JARDIM GUARANI";"15.704-344";"AV SALUSTIANO PUPIM, 1062, JARDIM GUARANI, JALES"
"CASA MODELO MATS P CONSTR LTDA ME";"12904774000126";"SP";"SAO PAULO";"AV JOAO XXIII";700;"VILA FORMOSA";"03.361-000";"AV JOAO XXIII, 700, VILA FORMOSA, SAO PAULO"
"DAGNONI E SEDREZ LTDA - ME";"17896653000101";"SC";"ITAJAI";"AV SETE DE SETEMBRO";1581;"FAZENDA";"88.301-201";"AV SETE DE SETEMBRO, 1581, FAZENDA, ITAJAI"
"FERRAGENS BUARQUE DE MACEDO LTDA";"3963122000171";"RJ";"RIO DE JANEIRO";"R BUARQUE DE MACEDO";73;"FLAMENGO";"22.220-030";"R BUARQUE DE MACEDO, 73, FLAMENGO, RIO DE JANEIRO"
"FMA GROFF MADEIREIRA LTDA";"93394021000110";"RS";"PORTO ALEGRE";"AV TRAMANDAI";657;"IPANEMA";"90.001-970";"AV TRAMANDAI, 657, IPANEMA, PORTO ALEGRE"
"JARDIM BOTANICO MATERIAIS DE CONSTRUCAO BAZAR E TINTAS EIRELI";"33389263000193";"RJ";"RIO DE JANEIRO";"R JARDIM BOTANICO";145;"GAVEA";"22.470-050";"R JARDIM BOTANICO, 145, GAVEA, RIO DE JANEIRO"
"LUZANA COM DE FERRO E METAIS LTDA  ME";"40455123000131";"RJ";"RIO DE JANEIRO";"R DOIS DE MAIO";198;"SAMPAIO";"20.961-160";"R DOIS DE MAIO, 198, SAMPAIO, RIO DE JANEIRO"
"PEDRINHO COMERCIO E SERVICOS PARA CONSTRUCOES EIRELI";"2792081000135";"SP";"BOTUCATU";"R DELPHIM DA GRACA CARDOSO";224;"VILA OPERARIA";"18.604-405";"R DELPHIM DA GRACA CARDOSO, 224, VILA OPERARIA, BOTUCATU"
